# t Temp Pres Epot Etot
47.150000 2.008476 1.864838 -1837.556104 -331.198950
47.200000 1.998125 1.432372 -1905.905573 -407.311887
47.250000 1.996704 1.636048 -1877.109609 -379.581728
47.300000 2.007258 1.626761 -1885.577396 -380.133677
47.350000 1.989566 1.642450 -1886.666845 -394.492500
47.400000 1.986320 2.180436 -1810.439191 -320.698912
47.450000 2.001436 1.885548 -1859.728881 -358.652030
47.500000 2.002609 1.871442 -1855.026817 -353.069921
47.550000 1.990092 1.888850 -1855.347189 -362.778265
47.600000 2.005625 1.970450 -1840.973600 -336.754584
47.650000 1.997680 1.804799 -1861.370234 -363.110497
47.700000 1.997131 1.613702 -1894.694727 -396.846257
47.750000 1.988767 1.896440 -1848.902792 -357.327679
47.800000 2.006561 2.064717 -1820.321186 -315.400478
47.850000 1.999008 1.593312 -1895.266264 -396.009974
47.900000 2.001112 1.843558 -1856.870611 -356.036444
47.950000 1.997349 1.875786 -1856.075311 -358.063858
48.000000 2.014152 1.789403 -1871.749423 -361.135240
48.050000 1.986254 1.965711 -1843.284218 -353.593396
48.100000 2.006433 1.858463 -1867.364417 -362.539316
48.150000 1.996926 1.753983 -1876.450300 -378.755548
48.200000 1.996185 1.586429 -1895.946883 -398.808284
48.250000 2.008763 1.743945 -1870.111991 -363.539400
48.300000 1.998354 1.513425 -1903.489697 -404.724540
48.350000 2.002901 1.512157 -1903.107795 -400.932276
48.400000 1.999641 1.441942 -1921.237736 -421.507150
48.450000 1.995654 1.765118 -1878.431253 -381.690475
48.500000 1.992742 2.076668 -1836.532360 -341.975562
48.550000 2.008566 1.821764 -1881.481625 -375.056992
48.600000 1.996443 1.825573 -1877.064212 -379.731763
48.650000 1.999164 2.063010 -1841.989367 -342.616179
48.700000 2.000047 2.091116 -1837.219655 -337.184687
48.750000 2.000748 2.171730 -1818.920479 -318.359689
48.800000 2.007451 1.677305 -1891.658690 -386.070421
48.850000 1.997460 1.891524 -1853.222234 -355.127318
48.900000 2.002623 2.110217 -1827.618944 -325.651470
48.950000 2.010072 1.531786 -1919.960612 -412.406639
49.000000 1.992765 1.503782 -1921.796879 -427.223247
49.050000 2.007843 1.787539 -1878.255604 -372.373716
49.100000 2.014027 1.586697 -1904.185797 -393.665402
49.150000 2.012357 1.381346 -1924.398369 -415.130342
49.200000 1.987123 1.584728 -1896.038079 -405.695662
49.250000 2.002656 1.821850 -1872.362501 -370.370232
49.300000 2.000005 1.834667 -1879.008779 -379.004953
